[MS Spectrum]
# of Peaks	1930
Raw Spectrum	[6.687],(scan:[2007])
Background	No Background Spectrum
Base Peak	m/z 119.90 (Inten : 316,950)
m/z	Absolute Intensity	Relative Intensity
946.60	110	0.03
948.30	105	0.03
948.70	120	0.04
949.80	108	0.03
951.50	117	0.04
952.00	122	0.04
952.55	173	0.05
953.05	176	0.06
954.15	234	0.07
955.15	148	0.05
956.25	47	0.01
957.25	110	0.03
957.90	1316	0.42
958.40	278	0.09
958.85	52	0.02
959.70	12	0.00
960.50	179	0.06
961.05	101	0.03
961.60	140	0.04
962.60	91	0.03
963.15	65	0.02
963.75	227	0.07
964.35	175	0.06
964.70	83	0.03
965.50	80	0.03
967.00	124	0.04
968.00	65	0.02
969.15	90	0.03
969.60	18	0.01
970.10	116	0.04
971.25	97	0.03
972.20	701	0.22
972.85	154	0.05
973.60	302	0.10
974.35	79	0.02
975.45	117	0.04
976.50	1836	0.58
977.50	19	0.01
978.40	8	0.00
979.25	71	0.02
979.70	209	0.07
980.35	1450	0.46
981.35	22	0.01
981.90	167	0.05
983.10	174	0.05
984.00	52	0.02
985.00	9	0.00
986.20	67	0.02
987.30	123	0.04
988.35	235	0.07
989.40	175	0.06
990.60	120	0.04
991.05	239	0.08
991.60	216	0.07
992.10	54	0.02
993.05	748	0.24
994.25	172	0.05
994.65	293	0.09
995.35	31	0.01
996.20	249	0.08
998.20	2	0.00
999.20	14	0.00
1000.75	44	0.01
1001.20	134	0.04
1002.20	64	0.02
1003.30	141	0.04
1003.80	73	0.02
1004.35	206	0.06
1005.30	136	0.04
1006.05	117	0.04
1006.55	90	0.03
1007.30	5	0.00
1008.15	126	0.04
1009.15	131	0.04
1010.25	62	0.02
1011.45	171	0.05
1011.85	95	0.03
1014.10	142	0.04
1015.10	152	0.05
1016.20	158	0.05
1017.20	48	0.02
1018.65	94	0.03
1019.60	3	0.00
1020.50	103	0.03
1021.65	70	0.02
1024.15	97	0.03
1025.05	700	0.22
1026.15	112	0.04
1027.10	5	0.00
1028.00	48	0.02
1029.00	103	0.03
1030.15	179	0.06
1031.10	37	0.01
1032.30	268	0.08
1033.55	254	0.08
1034.40	92	0.03
1035.40	22	0.01
1036.60	230	0.07
1038.15	120	0.04
1038.75	77	0.02
1040.60	201	0.06
1042.00	350	0.11
1043.00	243	0.08
1044.00	28	0.01
1045.20	168	0.05
1046.10	217	0.07
1047.15	487	0.15
1048.45	1242	0.39
1049.30	143	0.05
1050.45	168	0.05
1051.40	37	0.01
1053.25	163	0.05
1053.60	228	0.07
1054.95	93	0.03
1055.55	155	0.05
1056.95	72	0.02
1057.90	191	0.06
1059.00	121	0.04
1060.05	103	0.03
1060.50	206	0.06
1061.10	77	0.02
1062.25	203	0.06
1063.25	184	0.06
1063.65	45	0.01
1064.35	84	0.03
1065.40	228	0.07
1066.60	218	0.07
1067.50	35	0.01
1068.40	1365	0.43
1070.25	63	0.02
1071.05	57	0.02
1072.00	22	0.01
1072.85	168	0.05
1073.95	75	0.02
1074.90	59	0.02
1076.20	68	0.02
1077.25	257	0.08
1078.25	246	0.08
1079.30	150	0.05
1080.35	184	0.06
1081.40	274	0.09
1082.30	135	0.04
1083.20	7	0.00
1084.20	145	0.05
1084.65	208	0.07
1085.15	44	0.01
1085.70	725	0.23
1086.85	420	0.13
1088.25	204	0.06
1089.20	80	0.03
1090.10	322	0.10
1091.10	114	0.04
1092.20	210	0.07
1093.15	108	0.03
1093.65	89	0.03
1094.30	138	0.04
1095.25	238	0.08
1096.40	162	0.05
1097.40	61	0.02
1098.40	55	0.02
1099.65	153	0.05
1100.65	221	0.07
1101.75	87	0.03
1102.75	174	0.05
1103.70	3	0.00
1105.10	195	0.06
1106.10	301	0.09
1107.35	516	0.16
1108.15	187	0.06
1109.25	211	0.07
1110.30	265	0.08
1111.50	278	0.09
1112.45	213	0.07
1113.50	189	0.06
1114.10	41	0.01
1114.60	461	0.15
1115.60	33	0.01
1116.70	156	0.05
1117.75	206	0.06
1118.95	229	0.07
1119.95	208	0.07
1121.00	67	0.02
1122.15	163	0.05
1123.10	152	0.05
1124.30	321	0.10
1125.40	353	0.11
1126.40	134	0.04
1127.40	179	0.06
1128.50	127	0.04
1129.60	347	0.11
1130.40	431	0.14
1131.75	178	0.06
1132.90	208	0.07
1133.25	79	0.02
1133.90	95	0.03
1135.05	380	0.12
1136.10	196	0.06
1137.00	34	0.01
1138.15	142	0.04
1138.60	87	0.03
1139.25	167	0.05
1140.25	233	0.07
1141.45	256	0.08
1142.45	393	0.12
1144.70	326	0.10
1145.70	93	0.03
1146.80	246	0.08
1147.75	328	0.10
1149.90	181	0.06
1151.10	147	0.05
1152.15	191	0.06
1153.10	139	0.04
1154.30	108	0.03
1155.20	200	0.06
1156.45	287	0.09
1157.30	86	0.03
1158.45	223	0.07
1159.65	386	0.12
1160.65	81	0.03
1161.70	254	0.08
1162.75	172	0.05
1163.70	16	0.01
1165.00	248	0.08
1166.35	370	0.12
1167.20	317	0.10
1168.25	135	0.04
1168.55	73	0.02
1169.25	167	0.05
1169.55	99	0.03
1170.30	221	0.07
1171.45	280	0.09
1172.30	63	0.02
1173.70	279	0.09
1174.60	225	0.07
1175.60	178	0.06
1176.70	211	0.07
1177.05	67	0.02
1177.80	288	0.09
1178.95	184	0.06
1179.95	187	0.06
1180.90	2	0.00
1182.15	210	0.07
1183.10	117	0.04
1183.50	18	0.01
1184.25	163	0.05
1185.25	190	0.06
1186.65	158	0.05
1187.45	228	0.07
1188.70	186	0.06
1189.75	286	0.09
1190.60	79	0.02
1191.65	186	0.06
1192.05	48	0.02
1192.70	219	0.07
1194.90	170	0.05
1196.10	184	0.06
1197.20	270	0.09
1198.45	289	0.09
1199.60	1464	0.46
1200.35	275	0.09
1201.50	421	0.13
1202.55	157	0.05
1203.50	122	0.04
1204.55	149	0.05
1205.55	243	0.08
1207.00	152	0.05
1207.75	269	0.08
1209.05	173	0.05
1209.95	257	0.08
1211.30	650	0.21
1212.15	285	0.09
1213.20	790	0.25
1214.25	470	0.15
1215.25	244	0.08
1216.25	151	0.05
1217.40	141	0.04
1218.45	198	0.06
1219.60	308	0.10
1220.55	142	0.04
1221.75	276	0.09
1222.60	305	0.10
1223.05	64	0.02
1223.80	78	0.02
1224.10	153	0.05
1224.95	2918	0.92
1225.90	21	0.01
1227.15	193	0.06
1228.05	35	0.01
1228.45	46	0.01
1229.30	234	0.07
1230.35	211	0.07
1231.30	260	0.08
1231.65	106	0.03
1232.45	233	0.07
1233.65	447	0.14
1234.55	309	0.10
1235.45	99	0.03
1236.80	319	0.10
1237.65	278	0.09
1238.75	84	0.03
1239.10	152	0.05
1239.85	309	0.10
1241.00	268	0.08
1242.15	173	0.05
1243.05	234	0.07
1244.30	125	0.04
1245.30	367	0.12
1246.30	102	0.03
1246.60	224	0.07
1247.30	98	0.03
1249.60	418	0.13
1250.55	149	0.05
1251.65	287	0.09
1252.75	188	0.06
1254.10	298	0.09
1255.10	325	0.10
1255.85	291	0.09
1257.05	202	0.06
1258.25	276	0.09
1259.25	394	0.12
1260.20	156	0.05
1260.55	97	0.03
1261.40	230	0.07
1262.40	153	0.05
1263.55	275	0.09
1264.60	231	0.07
1265.55	225	0.07
1266.65	84	0.03
1267.75	190	0.06
1268.70	45	0.01
1269.95	369	0.12
1271.20	216	0.07
1272.20	210	0.07
1273.20	45	0.01
1274.30	247	0.08
1275.40	212	0.07
1276.50	167	0.05
1277.45	281	0.09
1278.45	304	0.10
1279.60	425	0.13
1280.60	112	0.04
1281.70	379	0.12
1282.80	238	0.08
1284.05	258	0.08
1284.95	595	0.19
1286.05	244	0.08
1287.05	202	0.06
1288.20	1010	0.32
1289.20	392	0.12
1290.25	238	0.08
1291.30	362	0.11
1292.45	383	0.12
1293.55	264	0.08
1294.60	431	0.14
1295.55	136	0.04
1296.75	279	0.09
1297.80	178	0.06
1299.00	107	0.03
1299.95	312	0.10
1300.90	105	0.03
1302.15	323	0.10
1303.10	285	0.09
1304.30	615	0.19
1305.25	207	0.07
1306.35	70	0.02
1307.40	172	0.05
1308.50	371	0.12
1309.50	180	0.06
1310.55	276	0.09
1311.75	215	0.07
1312.75	256	0.08
1313.70	2	0.00
1314.95	247	0.08
1316.00	249	0.08
1317.10	120	0.04
1318.10	224	0.07
1319.15	189	0.06
1320.20	143	0.05
1321.30	186	0.06
1322.40	139	0.04
1323.45	229	0.07
1324.45	180	0.06
1325.55	83	0.03
1326.30	78	0.02
1326.65	181	0.06
1327.70	257	0.08
1328.55	390	0.12
1329.60	6	0.00
1330.90	117	0.04
1332.05	198	0.06
1332.95	261	0.08
1334.00	70	0.02
1335.25	168	0.05
1336.25	193	0.06
1337.25	203	0.06
1338.40	75	0.02
1339.40	71	0.02
1340.50	100	0.03
1341.20	141	0.04
1341.65	222	0.07
1342.70	191	0.06
1344.05	140	0.04
1344.85	274	0.09
1345.80	163	0.05
1346.70	30	0.01
1348.05	166	0.05
1349.10	90	0.03
1350.20	167	0.05
1351.20	242	0.08
1352.45	215	0.07
1353.45	168	0.05
1354.50	283	0.09
1355.60	129	0.04
1356.65	113	0.04
1357.65	177	0.06
1359.90	294	0.09
1361.00	309	0.10
1362.10	119	0.04
1363.15	196	0.06
1364.20	117	0.04
1365.20	146	0.05
1366.25	378	0.12
1367.35	225	0.07
1368.45	342	0.11
1369.50	244	0.08
1370.60	220	0.07
1371.05	408	0.13
1371.70	272	0.09
